distance,no_vehc,day,time,age,purpose,outcome
1,15,4,2,57,2,27.6
8,5,3,3,37,2,20.4
2,3,3,2,55,2,23.9
8,20,3,2,47,1,28.6
9,17,4,2,48,2,28.6
8,20,5,3,56,1,31.9
9,14,2,3,56,1,31.2
9,26,1,2,52,1,33.3
9,11,1,1,50,2,28.1
1,27,6,2,49,1,27.4
5,28,4,1,29,1,22
5,14,6,3,42,1,22.8
8,6,3,3,42,1,22.5
3,23,5,3,33,1,21.1
2,17,3,2,56,2,28.5
7,9,3,3,39,2,21.9
6,14,1,2,41,1,23.8
2,13,4,3,20,1,12.6
8,8,3,2,47,2,25.2
6,3,1,3,21,1,12.6
3,20,3,3,46,1,25.8
6,27,3,2,48,2,30.3
7,28,2,1,20,2,20
5,14,5,1,34,1,19.6
2,17,6,1,46,2,23.8
2,4,5,3,34,2,15.5
7,25,3,3,26,1,21.3
1,8,4,1,21,2,11
6,9,5,1,18,2,12.4
6,18,2,3,45,2,26.7
8,29,4,1,28,1,23.4
5,13,3,1,47,1,24.9
1,14,1,3,44,2,22.8
7,4,2,2,47,1,23.5
2,5,6,2,49,2,21.5
7,27,6,2,51,1,31.2
2,29,4,1,33,2,22.6
7,14,1,1,52,1,28.6
4,9,2,3,35,2,19
7,5,4,2,39,1,20.2
6,28,2,1,54,2,33.1
9,5,3,1,28,1,16.9
2,6,6,2,48,1,21.2
3,10,5,2,48,1,23.1
7,27,4,1,45,1,29.1
6,27,1,1,22,2,20.2
8,9,3,3,55,1,28.6
1,12,1,2,55,1,26.3
9,13,3,1,18,1,15.3
9,23,4,1,25,2,21.1
1,28,6,1,44,1,25.6
2,17,4,1,42,2,22.6
2,26,1,3,19,2,16.9
2,29,5,3,18,1,16.4
2,7,1,2,40,1,19.3
7,18,4,2,41,2,25.1
6,24,2,3,24,1,19.9
3,14,4,2,59,1,28.9
1,28,1,2,27,2,20.1
5,2,4,2,54,1,24.3
5,4,4,2,20,1,11.3
5,15,3,2,28,2,18.2
6,1,5,2,25,1,12.7
3,9,5,1,50,1,23.5
6,5,5,1,26,2,14.4
9,29,5,2,30,2,24.8
3,20,6,2,28,2,18.1
7,20,5,1,43,2,26.2
8,13,5,1,49,1,26.8
2,3,5,1,59,1,24.8
4,1,3,1,58,1,25.2
6,13,5,2,32,2,19.3
4,5,4,1,20,2,11.2
3,13,5,2,33,1,18
6,18,2,3,28,1,19.7
6,25,2,1,46,1,28.8
7,27,4,1,46,2,29.7
6,6,4,3,53,1,25.7
5,12,2,2,27,2,17.1
7,12,4,2,55,1,28.7
2,10,5,3,43,2,20.9
3,24,6,1,58,2,31.2
9,9,1,1,41,1,23.7
1,19,2,1,31,1,18.5
7,28,3,3,32,2,24.8
6,1,5,3,31,2,15.4
1,10,4,3,32,1,16
1,18,6,3,58,2,28.6
5,24,1,2,44,2,27.7
9,22,6,3,41,2,27
5,14,2,1,45,2,24.8
4,17,6,2,39,2,22.1
3,13,3,1,19,2,12.9
4,4,3,3,33,1,16.3
9,3,1,3,52,2,26.7
5,3,1,3,57,2,26.7
7,27,4,1,41,1,27.5
3,16,2,2,47,2,25.3
8,1,5,2,21,2,12.3
1,1,4,2,30,1,12.4
4,2,4,3,46,2,20.9
9,16,6,1,25,1,18.4
8,23,1,3,55,2,33.4
5,20,1,1,41,2,25.2
4,16,3,1,36,2,21.1
2,3,2,3,38,1,17.2
9,28,5,1,39,1,27.8
7,18,3,3,48,2,28.2
